"TIME","GEO","CURRENCY","Value","Flag and Footnotes"
"2013S1","Romania","Euro","157.50",""
"2013S1","Slovenia","Euro","783.66",""
"2013S1","Slovakia","Euro","337.70",""
"2013S1","Finland","Euro",":","z"
"2013S1","Sweden","Euro",":","z"
"2013S1","United Kingdom","Euro","1,249.85",""
"2013S1","Iceland","Euro",":","z"
"2013S1","Norway","Euro",":","z"
"2013S1","Switzerland","Euro",":","z"
"2013S1","Montenegro","Euro",":",""
"2013S1","Former Yugoslav Republic of Macedonia, the","Euro","199.48",""
"2013S1","Albania","Euro",":",""
"2013S1","Serbia","Euro","239.24",""
"2013S1","Turkey","Euro","415.52",""
"2013S1","United States","Euro","952.46",""
"2014S1","Belgium","Euro","1,501.82",""
"2014S1","Bulgaria","Euro","173.84",""
"2014S1","Czech Republic","Euro","309.91",""
"2014S1","Denmark","Euro",":","z"
"2014S1","Germany (until 1990 former territory of the FRG)","Euro",":","z"
"2014S1","Estonia","Euro","355.00",""
"2014S1","Ireland","Euro","1,461.85",""
"2014S1","Greece","Euro","683.76",""
"2014S1","Spain","Euro","752.85",""
"2014S1","France","Euro","1,445.38",""
"2014S1","Croatia","Euro","395.67",""
"2014S1","Italy","Euro",":","z"
"2014S1","Cyprus","Euro",":","z"
"2014S1","Latvia","Euro","320.00",""
"2014S1","Lithuania","Euro","289.62",""
"2014S1","Luxembourg","Euro","1,921.03",""
"2014S1","Hungary","Euro","341.70",""
"2014S1","Malta","Euro","717.95",""
"2014S1","Netherlands","Euro","1,485.60",""
"2014S1","Austria","Euro",":","z"
"2014S1","Poland","Euro","404.40",""
"2014S1","Portugal","Euro","565.83",""
"2014S1","Romania","Euro","190.11",""
"2014S1","Slovenia","Euro","789.15",""
"2014S1","Slovakia","Euro","352.00",""
"2014S1","Finland","Euro",":","z"
"2014S1","Sweden","Euro",":","z"
"2014S1","United Kingdom","Euro","1,251.05",""
"2014S1","Iceland","Euro",":","z"
"2014S1","Norway","Euro",":","z"
"2014S1","Switzerland","Euro",":","z"
"2014S1","Montenegro","Euro","288.05",""
"2014S1","Former Yugoslav Republic of Macedonia, the","Euro","213.62",""
"2014S1","Albania","Euro","156.92",""
"2014S1","Serbia","Euro","235.31",""
"2014S1","Turkey","Euro","361.76",""
"2014S1","United States","Euro","911.22",""
"2015S1","Belgium","Euro","1,501.82",""
"2015S1","Bulgaria","Euro","184.07",""
"2015S1","Czech Republic","Euro","331.71",""
"2015S1","Denmark","Euro",":","z"
"2015S1","Germany (until 1990 former territory of the FRG)","Euro","1,440.00",""
"2015S1","Estonia","Euro","390.00",""
"2015S1","Ireland","Euro","1,461.85",""
"2015S1","Greece","Euro","683.76",""
"2015S1","Spain","Euro","756.70",""
"2015S1","France","Euro","1,457.52",""
"2015S1","Croatia","Euro","395.61",""
"2015S1","Italy","Euro",":","z"
"2015S1","Cyprus","Euro",":","z"
"2015S1","Latvia","Euro","360.00",""
"2015S1","Lithuania","Euro","300.00",""
"2015S1","Luxembourg","Euro","1,922.96",""
"2015S1","Hungary","Euro","332.76",""
"2015S1","Malta","Euro","720.46",""
"2015S1","Netherlands","Euro","1,501.80",""
"2015S1","Austria","Euro",":","z"
"2015S1","Poland","Euro","409.53",""
"2015S1","Portugal","Euro","589.17",""
"2015S1","Romania","Euro","217.50",""
"2015S1","Slovenia","Euro","790.73",""
"2015S1","Slovakia","Euro","380.00",""
"2015S1","Finland","Euro",":","z"
"2015S1","Sweden","Euro",":","z"
"2015S1","United Kingdom","Euro","1,378.87",""
"2015S1","Iceland","Euro",":","z"
"2015S1","Norway","Euro",":","z"
"2015S1","Switzerland","Euro",":","z"
"2015S1","Montenegro","Euro","288.05",""
"2015S1","Former Yugoslav Republic of Macedonia, the","Euro","213.72",""
"2015S1","Albania","Euro","156.99",""
"2015S1","Serbia","Euro","235.05",""
"2015S1","Turkey","Euro","424.26",""
"2015S1","United States","Euro","1,035.06",""
"2016S1","Belgium","Euro","1,501.82",""
"2016S1","Bulgaria","Euro","214.75",""
"2016S1","Czech Republic","Euro","366.35",""
"2016S1","Denmark","Euro",":","z"
"2016S1","Germany (until 1990 former territory of the FRG)","Euro","1,440.00",""
"2016S1","Estonia","Euro","430.00",""
"2016S1","Ireland","Euro","1,546.35",""
"2016S1","Greece","Euro","683.76",""
"2016S1","Spain","Euro","764.40",""
"2016S1","France","Euro","1,466.62",""
"2016S1","Croatia","Euro","408.48",""
"2016S1","Italy","Euro",":","z"
"2016S1","Cyprus","Euro",":","z"
"2016S1","Latvia","Euro","370.00",""
"2016S1","Lithuania","Euro","350.00",""
"2016S1","Luxembourg","Euro","1,922.96",""
"2016S1","Hungary","Euro","351.29",""
"2016S1","Malta","Euro","728.04",""
"2016S1","Netherlands","Euro","1,524.60",""
"2016S1","Austria","Euro",":","z"
"2016S1","Poland","Euro","433.88",""
"2016S1","Portugal","Euro","618.33",""
"2016S1","Romania","Euro","232.10",""
"2016S1","Slovenia","Euro","790.73",""
"2016S1","Slovakia","Euro","405.00",""
"2016S1","Finland","Euro",":","z"
"2016S1","Sweden","Euro",":","z"
"2016S1","United Kingdom","Euro","1,512.36",""
"2016S1","Iceland","Euro",":","z"
"2016S1","Norway","Euro",":","z"
"2016S1","Switzerland","Euro",":","z"
"2016S1","Montenegro","Euro","288.05",""
"2016S1","Former Yugoslav Republic of Macedonia, the","Euro","227.06",""
"2016S1","Albania","Euro","160.26",""
"2016S1","Serbia","Euro","233.53",""
"2016S1","Turkey","Euro","518.50",""
"2016S1","United States","Euro","1,154.28",""
"2017S1","Belgium","Euro","1,531.93",""
"2017S1","Bulgaria","Euro","235.20",""
"2017S1","Czech Republic","Euro","407.09",""
"2017S1","Denmark","Euro",":","z"
"2017S1","Germany (until 1990 former territory of the FRG)","Euro","1,498.00",""
"2017S1","Estonia","Euro","470.00",""
"2017S1","Ireland","Euro","1,563.25",""
